"Prototype","Screen Name","Screen File","Layer Name","Layer Text","Inspect URL"
"TAP_CartõesCrédito","Home","Home@2x.png","70€","70€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","80€ / Ano","80€ / Ano","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Adeus às Filas no Ch","Adeus às Filas no Check-in ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Conhecer Cartão","Conhecer Cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Segundo Titular 40€","Segundo Titular 40€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","TAEG 15%","TAEG 15%","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Seguro de Viagem ***","Seguro de Viagem ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","4000 milhas de renov","4000 milhas de renovação na data do aniversário do cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","4000 milhas com a ad","4000 milhas com a adesão **","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","2 milhas por cada 1€","2 milhas por cada 1€ de compras *","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Tap Gold","Tap Gold","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","CTA1","Aderir","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","400€","400€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","300€ / Ano","300€ / Ano","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","1 Peça de bagagem ex","1 Peça de bagagem extra com um peso máximo em função  da classe de reserva ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Acesso aos lounges T","Acesso aos lounges TAP ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Acesso ao Fast Track","Acesso ao Fast Track ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Adeus às Filas no Ch","Adeus às Filas no Check-in ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Conhecer Cartão","Conhecer Cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Segundo Titular 100€","Segundo Titular 100€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","TAEG 15%","TAEG 15%","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Seguro de Viagem ***","Seguro de Viagem ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","4000 milhas de renov","4000 milhas de renovação na data do aniversário do cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","4000 milhas com a ad","4000 milhas com a adesão **","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","2 milhas por cada 1€","2 milhas por cada 1€ de compras *","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Tap Platinum","Tap Platinum","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","50€","50€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","40€ / Ano","40€ / Ano","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Conhecer Cartão","Conhecer Cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Segundo Titular 20€","Segundo Titular 20€","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","TAEG 15%","TAEG 15%","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Seguro de Viagem ***","Seguro de Viagem ***","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","de renovação na data","de renovação na data do aniversário do cartão","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","1000 milhas","1000 milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","850 milhas","850 milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","com a adesão **","com a adesão **","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","1000 milhas","1000 milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","850 milhas","850 milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","1,25 milhas","1,25 milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","por cada 1€ de compr","por cada 1€ de compras *","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","2 milhas","2 milhas ","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Tap Classic","Tap Classic","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","CTA1","Aderir","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","CTA1","Conheça os Cartões","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Agora ganha Milhas e","Agora ganha Milhas em todas as compras com os cartões de crédito TAP Millennium BCP","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","MUDE O STATUS QUO DA","MUDE O STATUS QUO DAS SUAS VIAGENS","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Adira aos Cartões de","Adira aos Cartões de Crédito TAP e ponha-se a milhas","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","CTA1","Todas as Vantagens","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Rich Text Lorem ipsu Copy 2","Rich Text Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec tincidunt mauris vestibulum velit sollicitudin, sed imperdiet sem semper.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Milhas que lhe dão E","Milhas que lhe dão Estatuto","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Seguro de Viagem e m","Seguro de Viagem 
e muito mais","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Rich Text Lorem ipsu Copy 2","Rich Text Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec tincidunt mauris vestibulum velit sollicitudin, sed imperdiet sem semper.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Fast Track, Lounge e","Fast Track, Lounge 
e Bagagem Extra","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Rich Text Lorem ipsu Copy","Rich Text Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec tincidunt mauris vestibulum velit sollicitudin, sed imperdiet sem semper.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Rich Text Lorem ipsu","Rich Text Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec tincidunt mauris vestibulum velit sollicitudin, sed imperdiet sem semper.","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Entre 1 a 2 Milhas p","Entre 1 a 2 Milhas 
por Euro Gasto","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
"TAP_CartõesCrédito","Home","Home@2x.png","Cartões de Crédito C","Cartões de Crédito     Comparar     Perguntas Frequentes","https://projects.invisionapp.com/d/main#/console/20278855/426380842/inspect"
